題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明
n2122, 「零日攻擊」（Zero-day attack）的定義是？,利用已經被發現並修補的系統漏洞進行攻擊,利用還沒有被發現或修補的系統漏洞進行攻擊,透過釣魚郵件獲取用戶資訊,利用惡意軟體感染電腦,2, 利用還沒有被發現或修補的系統漏洞進行攻擊
n2123, 在社交工程攻擊中，若你收到一封看似官方的信件或網站，要求你輸入帳戶密碼或信用卡資料，這屬於哪一種類型？,幼兒攻擊,冒充攻擊,網路釣魚,水坑攻擊,3, 網路釣魚
n2124, 什麼是機器學習（Machine Learning）的定義？,讓電腦系統透過硬編碼規則執行任務,讓電腦系統透過資料學習模式並執行任務,一種僅限於數據儲存的技術,僅用於資料視覺化,2, 讓電腦系統透過資料學習模式並執行任務
n2125, 邏輯迴歸（Logistic Regression）雖名為迴歸，但它通常應用於哪種類型的問題？,預測連續數值,二元分類（Binary Classification）,資料降維,聚類分析,2, 二元分類（Binary Classification）
n2126, 生成式AI的核心特點是什麼？,僅能分析現有數據,可生成新的資料,只能識別數據模式,只能進行數據清理,2, 可生成新的資料
n2127, 擴散模型在圖像生成方面有何特點？,生成的圖像比較寫實,生成的圖像通常較具創意和天馬行空,訓練過程較簡單,只能生成黑白圖像,2, 生成的圖像通常較具創意和天馬行空
n2128, 「AI幻覺」（AI Hallucination）指的是什麼？,AI系統的一種防禦機制,模型生成聽起來合理但事實上錯誤或虛構的資訊,用於圖像壓縮的演算法,AI應用中不常見的現象,2, 模型生成聽起來合理但事實上錯誤或虛構的資訊
n2129, AI Agent 的核心功能不包括下列哪一項？,感知功能,推理決策,發明新技術,學習與記憶,3, 發明新技術
n2130, 什麼是泛化能力（Generalization Capability）？,模型對新資料或新環境的適應能力,模型僅能處理已見過的數據,模型僅適用於特定領域,模型的訓練速度,1, 模型對新資料或新環境的適應能力
n2131, 在AI模型訓練過程中，資料清理（Data Cleaning）的主要目的是什麼？,增加資料量,移除或修正缺失值、重複值、格式錯誤與異常值，確保資料品質,修改資料庫設計,產生資料視覺化圖表,2, 移除或修正缺失值、重複值、格式錯誤與異常值，確保資料品質
n2132, 資料轉換（Data Transformation）中，「特徵標準化（Standardization）」的目的是什麼？,將數據轉換為均值為0、標準差為1的分布,增強圖像邊緣,將數據壓縮到固定範圍內,增加資料筆數,1, 將數據轉換為均值為0、標準差為1的分布
n2133, 探索性資料分析（EDA）的主要目的是什麼？,建立深度學習模型,預測未來結果,了解資料的分布與特性,清理雜訊資料,3, 了解資料的分布與特性
n2134, 資料湖（Data Lake）的主要特點是？,只儲存結構化資料,僅能用於SQL查詢,可儲存結構化、半結構化與非結構化資料,資料需經完整清理才可儲存,3, 可儲存結構化、半結構化與非結構化資料
n2135, 時間序列資料（Time Series Data）通常具有什麼特性？,沒有順序性,每筆資料為獨立事件,資料間存在時間相關性,僅限於圖像資料使用,3, 資料間存在時間相關性
n2136, 常見用於時間序列預測的模型為？,CNN,LSTM,K-Means,PCA,2, LSTM
n2137, 哪種方法最常用來填補缺失值？,將缺失值刪除,用平均值或中位數填補,加入雜訊值,不需處理缺失值,2, 用平均值或中位數填補
n2138, 資料清理過程中應避免什麼？,統一欄位命名,刪除有意義的異常值,處理缺失值,移除重複資料,2, 刪除有意義的異常值
n2139, 大數據的5V特性中，不包含下列哪一項？,Volume（量）,Velocity（速）,Vision（願景）,Variety（多樣）,3, Vision（願景）
n2140, 影像處理中，「邊緣檢測演算法」（如Canny）的主要步驟包含哪一項？,音量調整,高斯模糊,訓練語意模型,壓縮解壓縮,2, 高斯模糊
n2141, 物體偵測的任務是什麼？,對整張圖分類,建立3D模型,同時辨識圖像中物體的位置與類別,將圖像轉文字,3, 同時辨識圖像中物體的位置與類別
n2142, YOLO（You Only Look Once）是哪一類模型的代表？,語音辨識,影像分割,實時物體偵測,姿態估計,3, 實時物體偵測
n2143, 卷積神經網路（CNN）在影像分類中的角色為何？,進行文字生成,壓縮圖像大小,自動學習圖像特徵以進行分類,製作標註資料,3, 自動學習圖像特徵以進行分類
n2144, 語音識別通常會使用哪種模型？,CNN,RNN,GAN,HMM,4, HMM
n2145, 智慧文件處理中，何種技術用於從圖像中提取文字？,NLP,OCR,GAN,CNN,2, OCR
n2146, 「AI民主化」的主要目標是？,讓AI技術只能由專業人士使用,降低AI技術門檻，使更多人能夠接觸和使用AI,限制AI的應用範圍,增加AI的計算資源消耗,2, 降低AI技術門檻，使更多人能夠接觸和使用AI
n2147, 在生成式AI中，「溫度參數（Temperature）」的作用是？,控制語音音調,決定生成內容的隨機程度或創造力,增強模型計算力,管理雲端伺服器溫度,2, 決定生成內容的隨機程度或創造力
n2148, Tree of Thought（ToT）提示策略主要可提升什麼能力？,翻譯精準度,多步推理與邏輯能力,音頻合成品質,單詞預測速度,2, 多步推理與邏輯能力
n2149, Prompt Injection攻擊的風險是什麼？,增強模型表現,導致模型回應非預期輸出或洩漏資訊,提升訓練速度,增加資料正確性,2, 導致模型回應非預期輸出或洩漏資訊
n2150, L2正則化主要如何運作？,移除不重要的特徵,將權重限制在小數值範圍內，懲罰權重平方和,增加非線性層數,使用特定激活函數,2, 將權重限制在小數值範圍內，懲罰權重平方和
n2151, 在Self-Attention機制中，注意力矩陣由哪三項計算而得？,Q（Query）、K（Key）、V（Value）,X、Y、Z,A、B、C,R、S、T,1, Q（Query）、K（Key）、V（Value）
n2152, Transformer中的多頭注意力（Multi-Head Attention）作用為？,並行訓練多個模型,使用多個注意力學習不同特徵關係,減少訓練次數,儲存歷史參數,2, 使用多個注意力學習不同特徵關係
n2153, GAN訓練常見的挑戰之一是？,生成器太簡單,訓練不穩定且易崩潰（模式崩潰）,判別器無法訓練,過度泛化,2, 訓練不穩定且易崩潰（模式崩潰）
n2154, RLHF（人類回饋強化學習）最常應用於哪一類模型？,圖像分類模型,自動編碼器,語音識別模型,大型語言模型（LLM）,4, 大型語言模型（LLM）
n2155, 輸出過濾（Output Filtering）的主要目的是什麼？,增加訓練資料,改善模型收斂速度,移除潛在有害或敏感的回應,強化推論能力,3, 移除潛在有害或敏感的回應
n2156, 對抗訓練（Adversarial Training）的核心是什麼？,精簡模型結構,結合人類回饋調整參數,使用經修改的輸入資料訓練模型，提高魯棒性,擴增模型輸出維度,3, 使用經修改的輸入資料訓練模型，提高魯棒性
n2157, 「貓鼠遊戲」最貼近AI模型安全性中的哪種情境？,模型與使用者間互動,對抗攻擊與防禦機制間的反覆演進,模型效能調優過程,圖像分類錯誤,2, 對抗攻擊與防禦機制間的反覆演進
n2158, 對比學習（Contrastive Learning）的目的是什麼？,將圖像轉換為文字,分類資料並做排序,最大化正樣本相似度、最小化負樣本相似度,合併不同模型輸出,3, 最大化正樣本相似度、最小化負樣本相似度
n2159, CLIP模型同時訓練圖像與文字的特徵是透過什麼機制？,對比學習,決策樹,卷積神經網路,時序模型,1, 對比學習
n2160, Text-to-Image Generation是什麼技術？,將圖像描述生成影片,將語音轉為圖像,根據文字輸入生成圖像內容,使用圖像進行摘要,3, 根據文字輸入生成圖像內容
n2161, 語義搜尋（Semantic Search）與關鍵字搜尋的差異為何？,語義搜尋僅限於圖像資料,語義搜尋可理解查詢意圖，而非僅匹配關鍵字,關鍵字搜尋比語義搜尋更精確,語義搜尋無法處理自然語言,2, 語義搜尋可理解查詢意圖，而非僅匹配關鍵字
n2162, 圖像的「語義分割（Semantic Segmentation）」結果通常是什麼？,每個像素分配一個類別標籤,圖像裁切後輸出,每個區塊套上顏色,預測圖像中邊緣線條,1, 每個像素分配一個類別標籤
n2163, 實例分割（Instance Segmentation）與語義分割（Semantic Segmentation）的最大差異是？,實例分割無法分類像素,實例分割區分同類物件的不同實例,語義分割不能處理多物件,語義分割只用於黑白圖,2, 實例分割區分同類物件的不同實例
n2164, 「湧現能力」（Emergent Abilities）指的是？,模型隨機產出錯誤,模型在訓練過程崩潰,模型具備未明確訓練卻自然出現的能力,模型只能分類情緒,3, 模型具備未明確訓練卻自然出現的能力
n2165, 上下文學習（In-context Learning）的核心特徵是？,每次都需重新訓練模型,模型記憶過去訓練參數,模型透過提示學習但不改變參數,模型只能在圖像中工作,3, 模型透過提示學習但不改變參數
n2166, 情感分析屬於下列哪種任務類型？,生成任務,分類任務,聚類任務,強化學習任務,2, 分類任務
n2167, 微調（Fine-tuning）的主要目的是什麼？,將模型應用於不同語言,透過任務特定資料集提升預訓練模型的應用效果,減少參數數量,使用相同語料重複訓練,2, 透過任務特定資料集提升預訓練模型的應用效果
n2168, 決策樹容易出現什麼問題？,欠擬合,過度擬合,無法處理數值特徵,無法進行預測,2, 過度擬合
n2169, 隨機森林的主要優勢為何？,可視化程度高,結合多棵樹減少過度擬合,訓練速度慢但精確,僅能用於回歸任務,2, 結合多棵樹減少過度擬合
n2170, 擴散模型（Diffusion Model）中的反向擴散過程代表什麼？,從雜訊恢復資料的生成過程,將圖像轉換為壓縮格式,資料標準化,自然語言分類,1, 從雜訊恢復資料的生成過程
n2171, LSTM相比RNN的主要優勢為？,可加速運算,可儲存更長期資訊,降低參數數量,不須反向傳播,2, 可儲存更長期資訊
n2172, 擴散模型的關鍵優勢為？,可快速壓縮資料,對多樣性與品質控制強,僅適用表格資料,不需要訓練,2, 對多樣性與品質控制強
n2173, 預訓練模型（Pre-trained Model）的主要優點是？,不需資料,訓練更慢,可遷移學習能力,只能做分類任務,3, 可遷移學習能力
n2174, 提示工程（Prompt Engineering）的目的是？,優化訓練資料,設計能誘導模型產出正確輸出的提示,建立資料庫索引,加快顯卡處理速度,2, 設計能誘導模型產出正確輸出的提示
n2175, 什麼是多模態生成（Multimodal Generation）？,同時輸出影片與程式碼,結合多種資料類型如文字與圖像,快速產生數據庫,儲存多份模型,2, 結合多種資料類型如文字與圖像
n2176, 零樣本學習（Zero-shot Learning）意味著什麼？,完全不需使用者參與,在未見過樣本下也能執行任務,必須人工標註資料,僅適用圖像識別,2, 在未見過樣本下也能執行任務
n2177, Few-shot Learning的特點為？,僅使用1張圖像做分類,需數千樣本,僅少量樣本即可完成新任務,僅在監督學習適用,3, 僅少量樣本即可完成新任務
n2178, 什麼是「對齊（Alignment）」在AI中的含義？,模型與使用者意圖一致,訓練資料調整格式,將資料橫向排列,儲存模型權重,1, 模型與使用者意圖一致
n2179, 深層造假（Deepfake）技術多應用於？,銀行風險建模,合同分析,視頻與語音仿冒,數據探勘,3, 視頻與語音仿冒
n2180, Prompt Chaining的主要用途為？,產出隨機回應,將多個提示流程串接，達成複雜任務,壓縮模型參數,改進資料標註,2, 將多個提示流程串接，達成複雜任務
n2181, Few-shot Prompt通常包含什麼？,範例輸入與期望輸出,模型權重參數,雜訊擾動資訊,不包含任何任務內容,1, 範例輸入與期望輸出
n2182, 為什麼Pre-training和Fine-tuning是有效結合？,可隨時切換模型,預訓練提供基礎知識，微調則適應特定任務,可避免模型訓練過久,與GPU無關,2, 預訓練提供基礎知識，微調則適應特定任務
n2183, Prompt Hacking常見的風險為？,資料遺失,模型過擬合,被用戶誘導產出敏感或錯誤資訊,訓練時間過長,3, 被用戶誘導產出敏感或錯誤資訊
n2184, 哪個策略能增加AI回答多樣性？,將Temperature設為0,使用Top-K抽樣,關閉回應緩存,使用固定提示,2, 使用Top-K抽樣
n2185, Alignment方法中哪個技術用來微調生成模型？,RLHF（人類回饋強化學習）,OCR,SVM,Dropout,1, RLHF（人類回饋強化學習）
n2186, 在提示工程中，加入「系統角色設定」的功能是？,增加生成長度,定義模型的行為風格與角色扮演,儲存執行結果,增強CPU效能,2, 定義模型的行為風格與角色扮演
n2187, 在卷積神經網路中，哪一層可幫助模型學習局部特徵？,全連接層,卷積層,遞迴層,輸出層,2, 卷積層
n2188, 資料增強常見於哪一種任務？,圖像分類,資料庫管理,網路連線,GPU分配,1, 圖像分類
n2189, 文本預處理不包含下列哪一項？,停用詞移除,轉小寫,增加模型參數,詞幹化或詞形還原,3, 增加模型參數
n2190, NLG（自然語言生成）在客服應用中的實例為？,自動對話回覆產生,分析顧客行為,判斷滿意度,收集數據,1, 自動對話回覆產生
n2191, 在CNN中，參數共享意味著什麼？,不需訓練權重,同一濾波器在整張圖上滑動,每個像素都有專屬權重,權重變動性高,2, 同一濾波器在整張圖上滑動
n2192, GitHub Copilot的主要功能是什麼？,圖像生成,程式碼生成與文生程式應用,音樂創作,簡報製作,2, 程式碼生成與文生程式應用
n2193, Hugging Face是哪個領域的模型開發領導平台？,圖像處理,自然語言處理（NLP）,音樂生成,簡報製作,2, 自然語言處理（NLP）
n2194, Claude在設計上特別注重什麼？,運算速度,應用美學,AI的可解釋性與安全性,多語言翻譯,3, AI的可解釋性與安全性
n2195, NotebookLM適合用來從多篇文件中總結知識，屬於哪類工具？,聊天型AI,AI搜尋引擊,多文件分析摘要工具,程式碼生成工具,3, 多文件分析摘要工具
n2196, Perplexity提供AI搜尋問答與引文資料來源，其主要特點是什麼？,只提供預訓練資訊,顯示即時答案並附上出處,僅用於生成程式碼,不支援多語言查詢,2, 顯示即時答案並附上出處
n2197, TWCC（台灣AI雲端運算平台）主要建置於哪一類架構？,ARM嵌入式系統,邊緣運算平台,HPC高效能運算叢集,分散式資料庫,3, HPC高效能運算叢集
n2198, TAIDE設計中強調哪一項本土特色？,輕量化硬體運算,支援多國語言,強化台灣語料、在地知識與倫理設計,海量資料即時蒐集,3, 強化台灣語料、在地知識與倫理設計
n2199, Meta發布的Llama 3模型特點為何？,商業閉源,僅支援英文,具備開源特性，支援多模態與多語言,僅限學術研究,3, 具備開源特性，支援多模態與多語言
n2200, 在AI應用中，若需將模型部署於企業自有伺服器與內網，常見於何種需求場域？,雲端部署,邊緣運算,地端部署,分散式儲存,3, 地端部署
n2201, 邊緣運算（Edge Computing）在AI中的優點為？,成本高、速度慢,提高延遲、資料集中,降低延遲、即時反應,僅能用於雲端模型,3, 降低延遲、即時反應
n2202, GPU在AI訓練中扮演什麼角色？,記憶體緩衝區,控制網路安全,加速並行運算、強化訓練效能,處理語音辨識,3, 加速並行運算、強化訓練效能
n2203, 容器化技術（如Docker）在AI模型部署的作用為何？,儲存數據,壓縮圖檔,建立可攜、可重複的執行環境,增加訓練次數,3, 建立可攜、可重複的執行環境
n2204, MLOps能改善哪些AI運營問題？,訓練速度慢,模型不穩定、版本混亂、部署不一致,設計不夠美觀,檔案命名錯誤,2, 模型不穩定、版本混亂、部署不一致
n2205, 自動化retrain（再訓練）最重要的觸發條件為何？,使用者請求,模型準確率下降或漂移指標觸發,GPU過熱,使用人數變少,2, 模型準確率下降或漂移指標觸發
n2206, 關於「少樣本學習（Few-shot Learning）」，下列何者正確？,少樣本學習是AI系統的一種防禦機制,少樣本學習是用於圖像壓縮的演算法,少樣本學習是AI應用中常見的技術/工具/現象，能憑少量樣本泛化至新任務,少樣本學習僅適用於傳統統計分析,3, 少樣本學習是AI應用中常見的技術/工具/現象，能憑少量樣本泛化至新任務
n2207, 關於「文生圖工具」，下列何者正確？,文生圖工具是AI系統的一種防禦機制,文生圖工具是用於圖像壓縮的演算法,文生圖工具是AI應用中常見的技術/工具/現象，能根據文字生成圖像,文生圖工具僅適用於傳統統計分析,3, 文生圖工具是AI應用中常見的技術/工具/現象，能根據文字生成圖像
n2208, 關於「提示洩漏（Prompt Leakage）」，下列何者正確？,提示洩漏是AI系統的一種防禦機制,提示洩漏是用於圖像壓縮的演算法,提示洩漏是AI應用中常見的技術/工具/現象，可能導致敏感資訊洩漏,提示洩漏僅適用於傳統統計分析,3, 提示洩漏是AI應用中常見的技術/工具/現象，可能導致敏感資訊洩漏
n2209, RAG模型在生成回答前會先進行哪一個步驟？,微調語言模型,資料增強,檢索相關資料,建立決策樹,3, 檢索相關資料
n2210, AI Agent若需多模態理解（圖像+文字），需具備哪類能力？,單一感知能力,多工控制,多模態融合能力,單語處理技術,3, 多模態融合能力
n2211, No-code工具的限制之一是？,無法整合AI模型,可客製化程度有限,不支援圖形化介面,僅能使用Python,2, 可客製化程度有限
n2212, 在AI導入過程中，確保資料品質的目的是？,降低資料儲存費用,提升模型準確度,增加資料筆數,簡化流程設計,2, 提升模型準確度
n2213, AI Agent若用於客服應用，其優勢為？,需人工逐句指令,僅支援文書處理,可24小時運作並即時回應,無法儲存對話紀錄,3, 可24小時運作並即時回應
n2214, 某公司希望導入AI系統協助預測銷售趨勢，請問最適合使用哪一種模型？,分類模型,回歸模型,聚類模型,樹狀圖模型,2, 回歸模型
n2215, AI模型部署後若未持續監控可能導致？,效能過高,成本下降,預測偏差與效能下降,用戶體驗提升,3, 預測偏差與效能下降
n2216, 員工利用No-code工具設計報表自動化流程，其效果為何？,無法使用資料分析,能提高處理效率並減少錯誤,僅能產生靜態報表,必須程式協助才能完成,2, 能提高處理效率並減少錯誤
n2217, 在AI導入流程中，若忽略痛點與需求分析，可能會造成什麼後果？,系統效率過高,模型誤用與資源浪費,成本降低過快,預測過度準確,2, 模型誤用與資源浪費
n2218, 企業導入AI Agent自動審查文件，若AI不透明導致錯誤，應注意哪方面？,記憶體容量,模型推論速度,可解釋性與責任歸屬,使用者界面,3, 可解釋性與責任歸屬
n2219, AI系統若沒有「例外處理機制」時，最可能導致什麼問題？,降低模型訓練複雜度,無法處理異常輸入，導致錯誤結果,提高處理準確率,主動通知維運人員,2, 無法處理異常輸入，導致錯誤結果
n2220, 「可信賴AI（Trustworthy AI）」的核心強調？,高速運算能力,公平性、透明度、問責制與安全性,自動決策能力,僅限於技術創新,2, 公平性、透明度、問責制與安全性
n2221, 「反應式機器（Reactive Machines）」這類AI的特點是？,具備完整記憶,能理解人類情感,沒有記憶，只對當前刺激做出反應,擁有自我意識,3, 沒有記憶，只對當前刺激做出反應
n2222, 《公部門人工智慧應用參考手冊》的核心原則之一是？,效率優先,隱藏決策過程,問責與透明,獨佔數據,3, 問責與透明
n2223, 《金融業運用AI指引》的核心原則中，關於系統穩健與安全的要求是？,AI系統必須經過充分測試，確保穩定運行並有備援計畫,AI系統僅需在開發階段測試,無需考慮突發狀況,AI系統應優先追求速度而非穩定,1, AI系統必須經過充分測試，確保穩定運行並有備援計畫
n2224, 大數據（Big Data）的3V特性不包括？,Volume（巨量）,Velocity（快速）,Value（價值）,Variety（多樣）,3, Value（價值）
n2225, 多模態學習（Multimodal Learning）的運作方式是？,僅能處理單一來源的資料,能夠同時處理和整合來自多種不同來源（模態）的資料,僅用於分類任務,只能用於生成文本,2, 能夠同時處理和整合來自多種不同來源（模態）的資料
n2226, 鑑別式AI（Discriminative AI）的原理是？,生成新的數據,學習不同類別資料之間的「決策邊界」,根據已有的輸入序列預測下一個最有可能出現的詞元,透過嘗試與犯錯來學習最優策略,2, 學習不同類別資料之間的「決策邊界」
n2227, AI Agent（AI代理）能夠利用AI自動化更複雜的多步驟工作流程，其能力不包括？,自主上網查資料,使用其他工具,僅能回答問題,執行一系列動作來完成一個目標,3, 僅能回答問題
n2228, 在生成式AI導入規劃中，「紅隊演練（Red Teaming）」的目的是？,測試模型訓練速度,意用各種刁鑽或不懷好意的問題來攻擊系統，找出其漏洞和弱點,評估模型成本效益,僅測試功能是否正常,2, 意用各種刁鑽或不懷好意的問題來攻擊系統，找出其漏洞和弱點
n2229, 生成式AI的倫理風險中，「幻覺（Hallucination）」指的是？,模型生成聽起來合理但事實上錯誤或虛構的資訊,模型無法獲取實時最新資訊,模型能一次處理的詞元數量有限,訓練和運行大型模型需要龐大的計算能力,1, 模型生成聽起來合理但事實上錯誤或虛構的資訊
n2230, 生成式AI的風險影響中，「過度依賴」可能導致什麼？,員工能力退化和風險察覺能力降低,模型訓練速度加快,資訊透明度提升,降低聲譽風險,1, 員工能力退化和風險察覺能力降低
n2231, 什麼是「模型透明度（Model Transparency）」？,AI模型的運作方式、決策過程及其內部機制的清晰程度,AI模型的訓練數據必須公開,AI模型的程式碼必須開源,AI模型不需要任何解釋,1, AI模型的運作方式、決策過程及其內部機制的清晰程度
n2232, 在AI發展的三個階段中，機器從數據中「學習」模式，而非僅依賴人工編程的規則，這一階段稱為？,機器學習的興起,符號式AI階段,深度學習與大數據時代,AI的誕生,1, 機器學習的興起
n2233, Transformer架構最初是為了處理哪一種任務而提出？,圖像識別,音訊分類,自然語言處理,強化學習,3, 自然語言處理
n2234, 在Transformer架構中，Self-Attention的功能是什麼？,掃描圖像邊緣,捕捉輸入序列中詞語間的關聯性,避免過度擬合,儲存詞向量,2, 捕捉輸入序列中詞語間的關聯性
n2235, 「詞元（Tokens）」是什麼？,文本中的錯誤拼寫,文本的最小處理單位，可以是單字、詞組、標點符號或部分單字,模型的訓練數據量,模型生成文本的速度,2, 文本的最小處理單位，可以是單字、詞組、標點符號或部分單字
n2236, 在大型語言模型的生成過程中，模型是根據什麼來預測下一個最有可能出現的詞元？,隨機選擇,已有的輸入序列（提示和之前生成的詞元）,僅基於詞彙頻率,每次都從頭開始生成,2, 已有的輸入序列（提示和之前生成的詞元）
n2237, 大型語言模型生成內容時，為避免輸出千篇一律，會引入哪種參數來控制隨機性？,學習率,批次大小,溫度參數,正則化強度,3, 溫度參數
n2238, 生成式AI的技術挑戰之一是「知識截止日期」，這表示什麼？,模型只能基於訓練數據中的知識進行回應，無法獲取實時最新資訊,模型會自動更新知識,模型會產生錯誤資訊,模型訓練時間過長,1, 模型只能基於訓練數據中的知識進行回應，無法獲取實時最新資訊
n2239, 企業在規劃生成式AI導入時，評估需求階段的「痛點識別」主要目的為何？,挖掘流程瓶頸、資源分配失衡或決策過程的不足,提升產品品質,縮短生產週期,強化供應鏈彈性,1, 挖掘流程瓶頸、資源分配失衡或決策過程的不足
n2240, 在AI應用中，哪種數據格式是純文字檔案格式，使用逗號來分隔資料欄位，每一行代表一筆資料？,JSON,XML,CSV,PDF,3, CSV
n2241, 資料清理中，哪種圖表無法直接判斷資料集中趨勢，而是主要用於比較多個維度上的表現？,直方圖,散布圖,雷達圖,盒鬚圖,3, 雷達圖
n2242, 在AI治理中，下列何者不屬於主要關注的範疇？,公平性,可解釋性,法律責任,行銷策略,4, 行銷策略
n2243, 若一家超商根據天氣進貨，天氣是「特徵（輸入變數）」，那麼銷售數量是什麼？,輸出變數,標籤（目標變數）,雜訊,權重,2, 標籤（目標變數）
n2244, 在生成式AI導入規劃的準備階段，企業應先掌握什麼？,最新AI技術,企業課題與痛點,預算上限,市場趨勢,2, 企業課題與痛點
n2245, AI應用於智慧城市管理，生成式AI可模擬哪些場景，供鑑別式AI預測風險並制定應對策略？,僅限歷史交通數據,各類突發事件，如交通事故、自然災害,僅天氣變化,城市人口增長,2, 各類突發事件，如交通事故、自然災害
n2246, 在AI導入的實務運作流程中，建立「持續改進機制」指的是什麼？,僅依賴外部技術支援,建立常態化的回饋收集與分析流程，持續優化AI方案,僅在模型效能下降時進行調整,由供應商全權負責,2, 建立常態化的回饋收集與分析流程，持續優化AI方案
n2247, 企業導入生成式AI時，何者不屬於「風險管理」需考慮的常見風險？,訓練數據洩漏,反向工程,提示詞攻擊,模型推論速度過快,4, 模型推論速度過快
n2248, 為了防止AI模型產生敏感資料洩漏，企業可採取哪些防範措施？,僅增加模型訓練數據量,身份驗證與授權機制、加密技術、差分隱私技術,減少模型部署數量,僅依賴程式碼審查,2, 身份驗證與授權機制、加密技術、差分隱私技術
n2249, 在「風險管理」中，「風險轉移」是指什麼？,企業自行承擔所有風險,購買保險或與外部合作夥伴簽署協議，將部分或全部風險責任轉移給第三方,忽略風險，等待其自然消失,暫緩開發高風險應用,2, 購買保險或與外部合作夥伴簽署協議，將部分或全部風險責任轉移給第三方
n2250, 在AI應用中，若要將程式碼變更自動測試與整合，達到持續整合（CI），其主要功能為何？,建立備份,將程式碼變更自動測試與整合,製作簡報,輸出PDF,2, 將程式碼變更自動測試與整合
